,bankssts-lh,caudalmiddlefrontal-lh,frontalpole-rh,middletemporal-lh,parsorbitalis-lh,superiortemporal-lh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.8636363636363636,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.64,0.0,0.0,0.1,0.26,0.0,0.0
frontalpole-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
middletemporal-lh,0.11363636363636363,0.0,0.0,0.6590909090909091,0.0,0.0,0.22727272727272727,0.0
parsorbitalis-lh,0.0,0.07142857142857142,0.0,0.0,0.7619047619047619,0.0,0.16666666666666666,0.0
superiortemporal-lh,0.0,0.30434782608695654,0.0,0.0,0.0,0.6086956521739131,0.08695652173913043,0.0
transversetemporal-lh,0.0,0.0,0.0,0.2692307692307692,0.09615384615384616,0.07692307692307693,0.5576923076923077,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
