,CP5,P7,O1,P8,Fp2,CP3,P5,AF4
CP5,0.53125,0.0,0.0,0.0,0.0,0.0,0.46875,0.0
P7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.5161290322580645,0.0,0.0,0.0,0.0,0.0,0.4838709677419355,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
