,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,cuneus-rh,lateraloccipital-rh,pericalcarine-lh,pericalcarine-rh,rostralanteriorcingulate-lh,rostralmiddlefrontal-lh
caudalanteriorcingulate-lh,0.24691358024691357,0.24691358024691357,0.0,0.0,0.0,0.0,0.24691358024691357,0.25925925925925924
caudalanteriorcingulate-rh,0.23684210526315788,0.25,0.0,0.0,0.0,0.0,0.2631578947368421,0.25
cuneus-rh,0.0,0.0,0.3103448275862069,0.1724137931034483,0.2413793103448276,0.27586206896551724,0.0,0.0
lateraloccipital-rh,0.0,0.0,0.1794871794871795,0.3076923076923077,0.28205128205128205,0.23076923076923078,0.0,0.0
pericalcarine-lh,0.0,0.0,0.225,0.225,0.275,0.275,0.0,0.0
pericalcarine-rh,0.0,0.0,0.2777777777777778,0.19444444444444445,0.25,0.2777777777777778,0.0,0.0
rostralanteriorcingulate-lh,0.23684210526315788,0.25,0.0,0.0,0.0,0.0,0.2631578947368421,0.25
rostralmiddlefrontal-lh,0.2375,0.25,0.0,0.0,0.0,0.0,0.2625,0.25
