,insula-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
insula-rh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
isthmuscingulate-rh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
lateralorbitofrontal-lh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
lateralorbitofrontal-rh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
medialorbitofrontal-lh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
medialorbitofrontal-rh,0.12643678160919541,0.12643678160919541,0.12643678160919541,0.12643678160919541,0.12643678160919541,0.11494252873563218,0.12643678160919541,0.12643678160919541
rostralanteriorcingulate-lh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
rostralanteriorcingulate-rh,0.125,0.13636363636363635,0.125,0.125,0.125,0.11363636363636363,0.125,0.125
