,insula-rh,isthmuscingulate-rh,lateraloccipital-lh,lingual-rh,parahippocampal-lh,pericalcarine-lh,pericalcarine-rh,rostralanteriorcingulate-rh
insula-rh,0.38461538461538464,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.34615384615384615
isthmuscingulate-rh,0.0,0.625,0.0,0.375,0.0,0.0,0.0,0.0
lateraloccipital-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lingual-rh,0.0,0.2222222222222222,0.0,0.7222222222222222,0.05555555555555555,0.0,0.0,0.0
parahippocampal-lh,0.23529411764705882,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.23529411764705882
pericalcarine-lh,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.24,0.76,0.0
rostralanteriorcingulate-rh,0.38461538461538464,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.34615384615384615
