,bankssts-rh,frontalpole-lh,inferiortemporal-rh,isthmuscingulate-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,pericalcarine-rh,rostralanteriorcingulate-lh
bankssts-rh,0.1774193548387097,0.0,0.0,0.1774193548387097,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
frontalpole-lh,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
inferiortemporal-rh,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.1694915254237288,0.0,0.0,0.1694915254237288,0.1694915254237288,0.1694915254237288,0.1694915254237288,0.15254237288135594
medialorbitofrontal-lh,0.14545454545454545,0.0,0.0,0.14545454545454545,0.2,0.18181818181818182,0.2,0.12727272727272726
medialorbitofrontal-rh,0.14545454545454545,0.0,0.0,0.14545454545454545,0.2,0.18181818181818182,0.2,0.12727272727272726
pericalcarine-rh,0.14545454545454545,0.0,0.0,0.14545454545454545,0.2,0.18181818181818182,0.2,0.12727272727272726
rostralanteriorcingulate-lh,0.1864406779661017,0.0,0.0,0.1864406779661017,0.15254237288135594,0.15254237288135594,0.15254237288135594,0.1694915254237288
