,frontalpole-lh,frontalpole-rh,lateraloccipital-rh,lingual-lh,parsopercularis-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,superiorparietal-rh
frontalpole-lh,0.4,0.25,0.0,0.0,0.0,0.2,0.15,0.0
frontalpole-rh,0.13043478260869565,0.4782608695652174,0.0,0.0,0.391304347826087,0.0,0.0,0.0
lateraloccipital-rh,0.0,0.0,0.38095238095238093,0.23809523809523808,0.0,0.0,0.0,0.38095238095238093
lingual-lh,0.0,0.0,0.21428571428571427,0.5714285714285714,0.0,0.0,0.0,0.21428571428571427
parsopercularis-lh,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0
rostralanteriorcingulate-rh,0.15,0.0,0.0,0.0,0.0,0.2,0.65,0.0
superiorparietal-rh,0.0,0.0,0.38095238095238093,0.23809523809523808,0.0,0.0,0.0,0.38095238095238093
