,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,precentral-rh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiortemporal-rh,supramarginal-rh
inferiorparietal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.12041884816753927,0.15706806282722513,0.12041884816753927,0.12041884816753927,0.12041884816753927,0.12041884816753927,0.12041884816753927,0.12041884816753927
parstriangularis-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorfrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
supramarginal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
