,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01633605600933489,0.01633605600933489,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.016569428238039672,0.016569428238039672,0.01680280046674446,0.0,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01633605600933489,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.016569428238039672,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.016569428238039672
Fz,0.016574585635359115,0.01703499079189687,0.01680478821362799,0.01680478821362799,0.016574585635359115,0.017265193370165747,0.01680478821362799,0.016114180478821363,0.01680478821362799,0.016114180478821363,0.016114180478821363,0.016574585635359115,0.01703499079189687,0.016574585635359115,0.016574585635359115,0.016574585635359115,0.01680478821362799,0.0,0.016574585635359115,0.01680478821362799,0.016574585635359115,0.01680478821362799,0.01680478821362799,0.016574585635359115,0.016114180478821363,0.01680478821362799,0.01680478821362799,0.01680478821362799,0.016114180478821363,0.01680478821362799,0.01703499079189687,0.016574585635359115,0.016114180478821363,0.01680478821362799,0.016114180478821363,0.01680478821362799,0.016574585635359115,0.01680478821362799,0.016574585635359115,0.01703499079189687,0.01703499079189687,0.016574585635359115,0.01680478821362799,0.01680478821362799,0.01680478821362799,0.016114180478821363,0.01680478821362799,0.01680478821362799,0.016574585635359115,0.01634438305709024,0.016574585635359115,0.01680478821362799,0.01680478821362799,0.01680478821362799,0.01680478821362799,0.01703499079189687,0.01680478821362799,0.016574585635359115,0.01680478821362799,0.016574585635359115,0.016574585635359115
F3,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016117890858853328,0.016578402026249137,0.017038913193644947,0.016578402026249137,0.016578402026249137,0.016578402026249137,0.016808657609947042,0.0,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.017038913193644947,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.017038913193644947,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016348146442551233,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.017038913193644947,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016578402026249137
F7,0.016542404473438955,0.01700838769804287,0.016775396085740912,0.016775396085740912,0.016542404473438955,0.01700838769804287,0.016775396085740912,0.016309412861136997,0.016775396085740912,0.016309412861136997,0.016309412861136997,0.016542404473438955,0.01700838769804287,0.016542404473438955,0.016542404473438955,0.016542404473438955,0.016775396085740912,0.0,0.016542404473438955,0.016775396085740912,0.016542404473438955,0.016775396085740912,0.016775396085740912,0.016542404473438955,0.016309412861136997,0.016775396085740912,0.016775396085740912,0.016775396085740912,0.016309412861136997,0.016775396085740912,0.01700838769804287,0.016542404473438955,0.016309412861136997,0.016775396085740912,0.016309412861136997,0.016775396085740912,0.016542404473438955,0.016775396085740912,0.016542404473438955,0.01700838769804287,0.01700838769804287,0.016542404473438955,0.016775396085740912,0.016775396085740912,0.016775396085740912,0.016309412861136997,0.016775396085740912,0.016775396085740912,0.016542404473438955,0.016542404473438955,0.016542404473438955,0.016775396085740912,0.016775396085740912,0.016775396085740912,0.016775396085740912,0.01700838769804287,0.016775396085740912,0.016542404473438955,0.016775396085740912,0.016542404473438955,0.016542404473438955
FT9,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01633605600933489,0.01633605600933489,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.016569428238039672,0.016569428238039672,0.01680280046674446,0.0,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01633605600933489,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01633605600933489,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.016569428238039672,0.016569428238039672,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.01680280046674446,0.016569428238039672,0.01680280046674446,0.016569428238039672,0.016569428238039672
FC5,0.016509974776427426,0.017197890392111902,0.016968585186883742,0.016739279981655582,0.016509974776427426,0.01742719559734006,0.016968585186883742,0.016051364365971106,0.016968585186883742,0.016051364365971106,0.016051364365971106,0.016509974776427426,0.017197890392111902,0.016509974776427426,0.016509974776427426,0.016509974776427426,0.016739279981655582,0.0,0.016509974776427426,0.016968585186883742,0.016509974776427426,0.016968585186883742,0.016968585186883742,0.016509974776427426,0.016051364365971106,0.016739279981655582,0.016739279981655582,0.016968585186883742,0.016051364365971106,0.016739279981655582,0.017197890392111902,0.016509974776427426,0.016051364365971106,0.016739279981655582,0.016051364365971106,0.016968585186883742,0.016509974776427426,0.016739279981655582,0.016509974776427426,0.017197890392111902,0.017197890392111902,0.016509974776427426,0.016968585186883742,0.016739279981655582,0.016739279981655582,0.016051364365971106,0.016739279981655582,0.016739279981655582,0.016509974776427426,0.016280669571199266,0.016509974776427426,0.016739279981655582,0.016739279981655582,0.016739279981655582,0.016739279981655582,0.017197890392111902,0.016739279981655582,0.016509974776427426,0.016968585186883742,0.016509974776427426,0.016509974776427426
FC1,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016117890858853328,0.016578402026249137,0.017038913193644947,0.016578402026249137,0.016578402026249137,0.016578402026249137,0.016808657609947042,0.0,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.017038913193644947,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.017038913193644947,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016348146442551233,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.017038913193644947,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016578402026249137
C3,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016459923664122137,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.0,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748
T7,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016117890858853328,0.016578402026249137,0.017038913193644947,0.016578402026249137,0.016578402026249137,0.016578402026249137,0.016808657609947042,0.0,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.017038913193644947,0.016578402026249137,0.016117890858853328,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.017038913193644947,0.017038913193644947,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016117890858853328,0.016808657609947042,0.016808657609947042,0.016578402026249137,0.016348146442551233,0.016578402026249137,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.016808657609947042,0.017038913193644947,0.016808657609947042,0.016578402026249137,0.016808657609947042,0.016578402026249137,0.016578402026249137
TP9,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016459923664122137,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.0,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016459923664122137,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748,0.016698473282442748
