,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,superiorfrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-rh,0.6301369863013698,0.0,0.0410958904109589,0.0410958904109589,0.1095890410958904,0.0,0.0,0.1780821917808219
parsopercularis-lh,0.0,0.8059701492537313,0.0,0.0,0.0,0.19402985074626866,0.0,0.0
parstriangularis-rh,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.1875,0.0,0.0,0.4375,0.1875,0.1875,0.0,0.0
superiorfrontal-rh,0.4,0.0,0.1,0.15,0.35,0.0,0.0,0.0
superiortemporal-lh,0.0,0.29545454545454547,0.0,0.11363636363636363,0.0,0.5909090909090909,0.0,0.0
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
supramarginal-lh,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.725
