,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.06658291457286432,0.06532663316582915,0.0,0.0,0.06281407035175879,0.0,0.0,0.0,0.06532663316582915,0.06407035175879397,0.0,0.0,0.06658291457286432,0.0,0.06030150753768844,0.0,0.0,0.06658291457286432,0.06658291457286432,0.0,0.0,0.06030150753768844,0.0,0.0,0.0,0.0364321608040201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658291457286432,0.02135678391959799,0.0,0.0,0.05150753768844221,0.0,0.0,0.06532663316582915,0.0,0.0,0.0,0.0,0.0,0.0,0.05778894472361809,0.00628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.05025125628140704
P7,0.0,0.0,0.0,0.0,0.0,0.06573957016434892,0.06573957016434892,0.0,0.0,0.0632111251580278,0.0,0.0,0.0,0.06573957016434892,0.06447534766118837,0.0,0.0,0.06573957016434892,0.0,0.0606826801517067,0.0,0.0,0.06573957016434892,0.06573957016434892,0.0,0.0,0.0606826801517067,0.0,0.0,0.0,0.03666245259165613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06573957016434892,0.021491782553729456,0.0,0.0,0.051833122629582805,0.0,0.0,0.06573957016434892,0.0,0.0,0.0,0.0,0.0,0.0,0.05815423514538559,0.006321112515802781,0.0,0.0,0.0,0.0,0.0,0.0,0.05056890012642225
O1,0.0,0.0,0.0,0.026881720430107527,0.0,0.0,0.0,0.0,0.1478494623655914,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.026881720430107527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07795698924731183,0.0,0.0,0.0,0.0,0.0,0.0,0.1639784946236559,0.0,0.0,0.0,0.0,0.0,0.13709677419354838,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.14516129032258066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.07622298065984073,0.06598407281001138,0.0,0.0,0.06370875995449374,0.0,0.0,0.0,0.06029579067121729,0.05915813424345848,0.0,0.0,0.080773606370876,0.0,0.05460750853242321,0.0,0.0,0.07281001137656427,0.06825938566552901,0.0,0.0,0.055745164960182024,0.0,0.0,0.0,0.03299203640500569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07394766780432309,0.019340159271899887,0.0,0.0,0.04664391353811149,0.0,0.0,0.06598407281001138,0.0,0.0,0.0,0.0,0.0,0.0,0.05233219567690557,0.005688282138794084,0.0,0.0,0.0,0.0,0.0,0.0,0.04550625711035267
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.06391478029294274,0.06391478029294274,0.0,0.0,0.06391478029294274,0.0,0.0,0.0,0.06391478029294274,0.06391478029294274,0.0,0.0,0.06391478029294274,0.0,0.06258322237017311,0.0,0.0,0.06391478029294274,0.06391478029294274,0.0,0.0,0.06125166444740346,0.0,0.0,0.0,0.03861517976031957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06391478029294274,0.022636484687083888,0.0,0.0,0.05459387483355526,0.0,0.0,0.06391478029294274,0.0,0.0,0.0,0.0,0.0,0.0,0.06125166444740346,0.006657789613848202,0.0,0.0,0.0,0.0,0.0,0.0,0.05326231691078562
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.10752688172043011,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.10752688172043011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.11827956989247312,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.08602150537634409,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.07291666666666667,0.06712962962962964,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.061342592592592594,0.06018518518518518,0.0,0.0,0.07407407407407407,0.0,0.05555555555555555,0.0,0.0,0.07291666666666667,0.06944444444444445,0.0,0.0,0.056712962962962965,0.0,0.0,0.0,0.03356481481481482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175925925925926,0.019675925925925927,0.0,0.0,0.047453703703703706,0.0,0.0,0.06712962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.05324074074074074,0.005787037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.046296296296296294
Cz,0.0,0.0,0.0,0.0,0.0,0.07050528789659224,0.0681551116333725,0.0,0.0,0.06580493537015276,0.0,0.0,0.0,0.06227967097532315,0.06110458284371328,0.0,0.0,0.07050528789659224,0.0,0.0564042303172738,0.0,0.0,0.07050528789659224,0.06933019976498238,0.0,0.0,0.057579318448883664,0.0,0.0,0.0,0.03407755581668625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07050528789659224,0.0199764982373678,0.0,0.0,0.0481786133960047,0.0,0.0,0.0681551116333725,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.005875440658049354,0.0,0.0,0.0,0.0,0.0,0.0,0.04700352526439483
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
