,Fz,CP5,P7,P8,Fp2,CP3,P5,PO7
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.3359375,0.0,0.0,0.0,0.0,0.3296875,0.334375
P7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.33385826771653543,0.0,0.0,0.0,0.0,0.33228346456692914,0.33385826771653543
PO7,0.0,0.3359253499222395,0.0,0.0,0.0,0.0,0.3297045101088647,0.3343701399688958
