,CP5,P7,P8,P5,PO7,PO8,P6,TP8
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.3337571519389701,0.3331214240305149,0.3331214240305149
P6,0.0,0.0,0.0,0.0,0.0,0.33291219204042954,0.33354390397978523,0.33354390397978523
TP8,0.0,0.0,0.0,0.0,0.0,0.3337555414819506,0.3331222292590247,0.3331222292590247
