,caudalanteriorcingulate-rh,entorhinal-lh,frontalpole-lh,frontalpole-rh,inferiortemporal-lh,middletemporal-lh,parstriangularis-lh,temporalpole-lh
caudalanteriorcingulate-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.0,0.39622641509433965,0.0,0.0,0.24528301886792453,0.018867924528301886,0.0,0.33962264150943394
frontalpole-lh,0.0,0.04,0.78,0.0,0.0,0.0,0.06,0.12
frontalpole-rh,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.03225806451612903,0.0
inferiortemporal-lh,0.0,0.21818181818181817,0.0,0.0,0.36363636363636365,0.03636363636363636,0.0,0.38181818181818183
middletemporal-lh,0.0,0.0967741935483871,0.0,0.0,0.1935483870967742,0.5161290322580645,0.0,0.1935483870967742
parstriangularis-lh,0.0,0.046511627906976744,0.16279069767441862,0.0,0.0,0.0,0.7906976744186046,0.0
temporalpole-lh,0.0,0.24050632911392406,0.05063291139240506,0.0,0.25316455696202533,0.02531645569620253,0.0,0.43037974683544306
