,CP1,FC2,AF7,AF3,AFz,P1,POz,AF8
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.6461538461538462,0.0,0.0,0.35384615384615387,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.5111111111111111,0.0,0.0,0.4888888888888889,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.7058823529411765
