subject,session,condition,sigma_ratio,sigma_eig,ci_low,ci_high,ci_method,state,window
S06,Sess01,MOTOR_EXECUTION-LEFT,0.9989063873451336,0.9999999999999976,0.9854975347941639,1.0141109202451417,bootstrap,critical,fullwin_beta
S06,Sess01,MOTOR_EXECUTION-RIGHT,0.9894069964803262,1.0000000000000027,0.9745058352966651,1.0039028873481584,bootstrap,critical,fullwin_beta
S06,Sess01,MOTOR_IMAGERY-LEFT,0.9950600607774105,1.0000000000000009,0.9857672987055137,1.0043147361346243,bootstrap,critical,fullwin_beta
S06,Sess01,MOTOR_IMAGERY-RIGHT,0.9924981099721025,1.0000000000000029,0.9829731185118216,1.0021322024827788,bootstrap,critical,fullwin_beta
S06,Sess01,MOTOR_EXECUTION,0.9941566919127298,1.0,0.9800016850454145,1.00900690379665,bootstrap,critical,fullwin_beta
S06,Sess01,MOTOR_IMAGERY,0.9937790853747566,1.0000000000000018,0.9843702086086676,1.0032234693087014,bootstrap,critical,fullwin_beta
S06,Sess01,LEFT,0.996983224061272,0.9999999999999992,0.9856324167498388,1.0092128281898831,bootstrap,critical,fullwin_beta
S06,Sess01,RIGHT,0.9909525532262143,1.0000000000000027,0.9787394769042433,1.0030175449154686,bootstrap,critical,fullwin_beta
S06,Sess01,LEFT_vs_RIGHT,0.006030670835057705,0.0,-0.01738512816562976,0.03047335128563977,bootstrap,delta,fullwin_beta
S06,Sess01,IMAGERY_vs_EXECUTION,-0.00037760653797325183,0.0,-0.024636695187982394,0.023221784263286915,bootstrap,delta,fullwin_beta
S06,Sess01,ME_LEFT_vs_ME_RIGHT,0.009499390864807444,0.0,-0.018405352553994447,0.03960508494847659,bootstrap,delta,fullwin_beta
S06,Sess01,MI_LEFT_vs_MI_RIGHT,0.0025619508053079665,0.0,-0.016364903777265072,0.021341617622802733,bootstrap,delta,fullwin_beta
