,cuneus-lh,frontalpole-rh,inferiorparietal-lh,isthmuscingulate-rh,lateraloccipital-lh,pericalcarine-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
cuneus-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
inferiorparietal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateraloccipital-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pericalcarine-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralanteriorcingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
