,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0507399577167019,0.0,0.0,0.0,0.03382663847780127,0.048625792811839326,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.052854122621564484,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.052854122621564484,0.048625792811839326,0.0507399577167019,0.0,0.052854122621564484,0.0,0.0507399577167019,0.03171247357293869,0.0,0.0,0.0,0.0,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.052854122621564484,0.0,0.0,0.0,0.0,0.0507399577167019,0.046511627906976744,0.0,0.0,0.052854122621564484,0.052854122621564484,0.0,0.006342494714587738,0.0,0.0
F3,0.0,0.0,0.0583596214511041,0.04416403785488959,0.0,0.0,0.0,0.0,0.0583596214511041,0.0,0.055205047318611984,0.0,0.0,0.0,0.0,0.0,0.0,0.03785488958990536,0.0,0.0,0.0,0.0,0.00946372239747634,0.050473186119873815,0.0,0.055205047318611984,0.026813880126182965,0.05993690851735016,0.0,0.0,0.0,0.0473186119873817,0.0,0.05362776025236593,0.0,0.0,0.04416403785488959,0.0,0.0,0.025236593059936908,0.0,0.0583596214511041,0.0,0.056782334384858045,0.03785488958990536,0.052050473186119876,0.0,0.04258675078864353,0.02996845425867508,0.03627760252365931,0.0,0.0,0.0,0.0,0.05993690851735016,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.05533596837944664,0.0533596837944664,0.0,0.0,0.0,0.0,0.05533596837944664,0.0,0.0533596837944664,0.0,0.0,0.0,0.0,0.0,0.0,0.04743083003952569,0.0,0.0,0.0,0.0,0.011857707509881422,0.05533596837944664,0.0,0.0533596837944664,0.03359683794466403,0.05533596837944664,0.0,0.0,0.0,0.043478260869565216,0.0,0.05138339920948617,0.0,0.0,0.0533596837944664,0.0,0.0,0.02766798418972332,0.0,0.05533596837944664,0.0,0.05533596837944664,0.03162055335968379,0.04940711462450593,0.0,0.037549407114624504,0.03359683794466403,0.03162055335968379,0.0,0.0,0.0,0.0,0.05533596837944664,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.030252100840336135,0.0,0.0,0.0,0.047058823529411764,0.04873949579831933,0.0,0.0,0.04873949579831933,0.0,0.0,0.0,0.04873949579831933,0.018487394957983194,0.0,0.04873949579831933,0.0,0.0,0.0,0.0453781512605042,0.0,0.0,0.0,0.04873949579831933,0.0,0.0,0.0,0.04873949579831933,0.04873949579831933,0.04873949579831933,0.0,0.04873949579831933,0.0,0.04873949579831933,0.0453781512605042,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0453781512605042,0.0,0.0,0.0,0.0,0.0453781512605042,0.04873949579831933,0.0,0.0,0.04873949579831933,0.04873949579831933,0.0,0.025210084033613446,0.01680672268907563,0.0
FC1,0.0,0.023809523809523808,0.0,0.0,0.0,0.02761904761904762,0.05619047619047619,0.0,0.0,0.05619047619047619,0.0,0.0,0.0,0.054285714285714284,0.015238095238095238,0.0,0.058095238095238096,0.0,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.058095238095238096,0.0,0.0,0.0,0.058095238095238096,0.05714285714285714,0.04380952380952381,0.0,0.05619047619047619,0.0,0.058095238095238096,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.0,0.03238095238095238,0.035238095238095235,0.0,0.0,0.058095238095238096,0.05714285714285714,0.0,0.01904761904761905,0.010476190476190476,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.05409582689335394,0.04173106646058733,0.0,0.0,0.0,0.0,0.05873261205564142,0.0,0.05873261205564142,0.0,0.0,0.0,0.0,0.0,0.0,0.03709428129829984,0.0,0.0,0.0,0.0,0.00927357032457496,0.04791344667697063,0.0,0.05873261205564142,0.02627511591962906,0.06027820710973725,0.0,0.0,0.0,0.05100463678516229,0.0,0.05255023183925812,0.0,0.0,0.04173106646058733,0.0,0.0,0.021638330757341576,0.0,0.05873261205564142,0.0,0.06027820710973725,0.03863987635239567,0.05100463678516229,0.0,0.04636785162287481,0.02936630602782071,0.03554868624420402,0.0,0.0,0.0,0.0,0.06027820710973725,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.020161290322580645,0.0,0.0,0.0,0.02338709677419355,0.04516129032258064,0.0,0.0,0.0717741935483871,0.0,0.0,0.0,0.06451612903225806,0.010483870967741936,0.0,0.07338709677419354,0.0,0.0,0.0,0.056451612903225805,0.0,0.0,0.0,0.05241935483870968,0.0,0.0,0.0,0.062096774193548386,0.04758064516129032,0.035483870967741936,0.0,0.056451612903225805,0.0,0.04838709677419355,0.02258064516129032,0.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.05725806451612903,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.0,0.0,0.027419354838709678,0.02903225806451613,0.0,0.0,0.05403225806451613,0.05806451612903226,0.0,0.013709677419354839,0.008870967741935484,0.0
