,frontalpole-lh,fusiform-rh,inferiortemporal-rh,isthmuscingulate-rh,parahippocampal-rh,parsopercularis-rh,rostralanteriorcingulate-lh,transversetemporal-rh
frontalpole-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-rh,0.0,0.3333333333333333,0.2864583333333333,0.0,0.265625,0.11458333333333333,0.0,0.0
inferiortemporal-rh,0.0,0.265625,0.3333333333333333,0.0,0.3229166666666667,0.078125,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.25405405405405407,0.32432432432432434,0.0,0.35135135135135137,0.07027027027027027,0.0,0.0
parsopercularis-rh,0.0,0.1527777777777778,0.11805555555555555,0.0,0.10416666666666667,0.625,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.9895833333333334,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
