,T7,TP9,P7,Cz,FT7,TP7,PO7,AF8
T7,0.5578231292517006,0.0,0.4421768707482993,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.71875,0.0,0.0,0.015625,0.265625,0.0,0.0
P7,0.5038759689922481,0.0,0.49612403100775193,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.0
TP7,0.0,0.5,0.0,0.0,0.027777777777777776,0.4722222222222222,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
