,bankssts-lh,fusiform-lh,inferiortemporal-lh,isthmuscingulate-lh,isthmuscingulate-rh,parahippocampal-lh,pericalcarine-lh,pericalcarine-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-lh,0.0,0.175,0.1,0.175,0.175,0.15,0.15,0.075
inferiortemporal-lh,0.0,0.15625,0.125,0.15625,0.15625,0.15625,0.15625,0.09375
isthmuscingulate-lh,0.0,0.175,0.1,0.175,0.175,0.15,0.15,0.075
isthmuscingulate-rh,0.0,0.175,0.1,0.175,0.175,0.15,0.15,0.075
parahippocampal-lh,0.0,0.175,0.1,0.175,0.175,0.15,0.15,0.075
pericalcarine-lh,0.0,0.175,0.1,0.175,0.175,0.15,0.15,0.075
pericalcarine-rh,0.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111
