,parstriangularis-rh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-rh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh
parstriangularis-rh,0.125,0.125,0.125,0.125,0.15,0.125,0.075,0.15
postcentral-rh,0.125,0.125,0.125,0.125,0.15,0.125,0.075,0.15
precentral-lh,0.125,0.125,0.125,0.125,0.15,0.125,0.075,0.15
precentral-rh,0.125,0.125,0.125,0.125,0.15,0.125,0.075,0.15
rostralmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.16666666666666666,0.125,0.0625,0.14583333333333334
superiorparietal-rh,0.125,0.125,0.125,0.125,0.15,0.125,0.075,0.15
superiortemporal-lh,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.13043478260869565
superiortemporal-rh,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.17073170731707318,0.12195121951219512,0.07317073170731707,0.14634146341463414
