,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.10975609756097561,0.18292682926829268,0.18292682926829268,0.18292682926829268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.06037735849056604,0.0,0.0,0.0,0.0,0.0,0.07924528301886792,0.07924528301886792,0.0,0.0,0.0,0.07924528301886792,0.022641509433962263,0.0,0.0,0.0,0.06792452830188679,0.07924528301886792,0.07924528301886792,0.0,0.0,0.0,0.06415094339622641,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.018867924528301886,0.0,0.0,0.0,0.07547169811320754,0.06415094339622641,0.0,0.0,0.052830188679245285,0.0,0.07924528301886792,0.0,0.0,0.06037735849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.0,0.0,0.04741379310344827,0.0,0.0,0.0,0.0,0.0,0.09482758620689655,0.09482758620689655,0.0,0.0,0.0,0.08189655172413793,0.004310344827586207,0.0,0.0,0.0,0.05603448275862069,0.09482758620689655,0.09482758620689655,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.021551724137931036,0.0,0.021551724137931036,0.0,0.0,0.0,0.06465517241379311,0.09051724137931035,0.0,0.0,0.05603448275862069,0.0,0.07758620689655173,0.0,0.0,0.04741379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.060109289617486336,0.0,0.0,0.0,0.0,0.0,0.07650273224043716,0.07650273224043716,0.0,0.0,0.0,0.07650273224043716,0.00546448087431694,0.0,0.0,0.0,0.07103825136612021,0.07650273224043716,0.07650273224043716,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0273224043715847,0.0,0.0273224043715847,0.0,0.0,0.0,0.07650273224043716,0.07650273224043716,0.0,0.0,0.07103825136612021,0.0,0.07650273224043716,0.0,0.0,0.060109289617486336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09448818897637795,0.0,0.0,0.0,0.0,0.0,0.0,0.18110236220472442,0.0,0.0,0.0,0.0,0.15748031496062992,0.1889763779527559,0.1889763779527559,0.1889763779527559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.06722689075630252,0.0,0.0,0.0,0.0,0.0,0.0896358543417367,0.0896358543417367,0.0,0.0,0.0,0.08683473389355742,0.0392156862745098,0.0,0.0,0.0,0.056022408963585436,0.0896358543417367,0.0896358543417367,0.0,0.0,0.0,0.05322128851540616,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.014005602240896359,0.0,0.0,0.0,0.058823529411764705,0.056022408963585436,0.0,0.0,0.0392156862745098,0.0,0.08683473389355742,0.0,0.0,0.04481792717086835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
