,inferiorparietal-rh,parsopercularis-lh,postcentral-rh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,supramarginal-lh,supramarginal-rh
inferiorparietal-rh,0.28205128205128205,0.02564102564102564,0.038461538461538464,0.0641025641025641,0.0641025641025641,0.1794871794871795,0.0641025641025641,0.28205128205128205
parsopercularis-lh,0.05,0.5833333333333334,0.03333333333333333,0.13333333333333333,0.05,0.05,0.05,0.05
postcentral-rh,0.15151515151515152,0.06060606060606061,0.09090909090909091,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.15151515151515152,0.12121212121212122
superiorfrontal-rh,0.1,0.175,0.075,0.225,0.125,0.075,0.125,0.1
superiorparietal-lh,0.12903225806451613,0.06451612903225806,0.0967741935483871,0.16129032258064516,0.16129032258064516,0.0967741935483871,0.16129032258064516,0.12903225806451613
superiorparietal-rh,0.2549019607843137,0.0392156862745098,0.0392156862745098,0.058823529411764705,0.058823529411764705,0.2549019607843137,0.058823529411764705,0.23529411764705882
supramarginal-lh,0.12903225806451613,0.06451612903225806,0.0967741935483871,0.16129032258064516,0.16129032258064516,0.0967741935483871,0.16129032258064516,0.12903225806451613
supramarginal-rh,0.2875,0.025,0.0375,0.0625,0.0625,0.1625,0.0625,0.3
