,Fp1,Fz,P3,Fp2,F5,PO3,PO4,PO8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.5689655172413793,0.0,0.0,0.0,0.0,0.43103448275862066,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO4,0.0,0.45625,0.0,0.0,0.0,0.0,0.54375,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
