,FT9,TP9,P3,Cz,F5,P5,PO3,PO8
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.5384615384615384,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.8285714285714286,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
