,FT9,TP9,P3,Cz,F5,P5,PO3,PO8
FT9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.5606060606060606,0.4393939393939394,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.5084745762711864,0.4915254237288136,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
