,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,insula-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,pericalcarine-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.14893617021276595,0.1702127659574468,0.1702127659574468,0.0,0.1702127659574468,0.0,0.1702127659574468,0.1702127659574468
caudalanteriorcingulate-rh,0.14,0.16,0.18,0.0,0.16,0.0,0.18,0.18
insula-lh,0.13636363636363635,0.1590909090909091,0.18181818181818182,0.0,0.1590909090909091,0.0,0.18181818181818182,0.18181818181818182
isthmuscingulate-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.14,0.16,0.18,0.0,0.16,0.0,0.18,0.18
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-lh,0.13636363636363635,0.1590909090909091,0.18181818181818182,0.0,0.1590909090909091,0.0,0.18181818181818182,0.18181818181818182
rostralanteriorcingulate-rh,0.13636363636363635,0.1590909090909091,0.18181818181818182,0.0,0.1590909090909091,0.0,0.18181818181818182,0.18181818181818182
