,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-rh,medialorbitofrontal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
bankssts-rh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
caudalanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
caudalanteriorcingulate-rh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
caudalmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
medialorbitofrontal-lh,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.11428571428571428,0.11428571428571428,0.12857142857142856,0.12857142857142856
parahippocampal-rh,0.125,0.125,0.125,0.125,0.10714285714285714,0.14285714285714285,0.125,0.125
rostralanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
rostralanteriorcingulate-rh,0.125,0.125,0.125,0.125,0.109375,0.140625,0.125,0.125
