,FT9,CP1,P7,F8,C1,CP3,PO4,PO8
FT9,0.5338983050847458,0.0,0.0,0.0,0.0,0.0,0.0,0.4661016949152542
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.5045871559633027,0.0,0.0,0.0,0.0,0.0,0.0,0.4954128440366973
