,frontalpole-rh,isthmuscingulate-rh,lateraloccipital-lh,lateralorbitofrontal-rh,pericalcarine-lh,pericalcarine-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-rh,0.9473684210526315,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
isthmuscingulate-rh,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
lateraloccipital-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.5,0.0,0.0,0.4166666666666667,0.08333333333333333
pericalcarine-lh,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0,0.0,0.0
pericalcarine-rh,0.1875,0.0,0.0,0.0,0.0,0.8125,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.47619047619047616,0.3333333333333333
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.2926829268292683,0.7073170731707317
