,frontalpole-lh,insula-lh,lateralorbitofrontal-lh,medialorbitofrontal-lh,medialorbitofrontal-rh,parsorbitalis-lh,superiorparietal-lh,temporalpole-lh
frontalpole-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,0.4864864864864865,0.0,0.0,0.0,0.0,0.5135135135135135,0.0
lateralorbitofrontal-lh,0.0,0.0,0.5263157894736842,0.15789473684210525,0.0,0.3157894736842105,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.045454545454545456,0.45454545454545453,0.0,0.5,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parsorbitalis-lh,0.0,0.0,0.13793103448275862,0.3793103448275862,0.0,0.4827586206896552,0.0,0.0
superiorparietal-lh,0.0,0.41304347826086957,0.0,0.0,0.0,0.0,0.5869565217391305,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
