,frontalpole-rh,fusiform-rh,isthmuscingulate-rh,medialorbitofrontal-rh,parahippocampal-rh,parsorbitalis-rh,rostralanteriorcingulate-rh,temporalpole-lh
frontalpole-rh,0.16875,0.16875,0.175,0.15,0.1625,0.0,0.175,0.0
fusiform-rh,0.16875,0.16875,0.175,0.15,0.1625,0.0,0.175,0.0
isthmuscingulate-rh,0.16560509554140126,0.16560509554140126,0.17197452229299362,0.1592356687898089,0.1592356687898089,0.0,0.17834394904458598,0.0
medialorbitofrontal-rh,0.15827338129496402,0.15827338129496402,0.16546762589928057,0.19424460431654678,0.1510791366906475,0.0,0.17266187050359713,0.0
parahippocampal-rh,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.1513157894736842,0.16447368421052633,0.0,0.17105263157894737,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-rh,0.16455696202531644,0.16455696202531644,0.17088607594936708,0.16455696202531644,0.15822784810126583,0.0,0.17721518987341772,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
