,caudalmiddlefrontal-lh,postcentral-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.19230769230769232
postcentral-rh,0.16,0.12,0.16,0.12,0.12,0.04,0.12,0.16
superiorparietal-lh,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.19230769230769232
superiorparietal-rh,0.16,0.12,0.16,0.12,0.12,0.04,0.12,0.16
superiortemporal-lh,0.16,0.12,0.16,0.12,0.12,0.04,0.12,0.16
superiortemporal-rh,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333
supramarginal-lh,0.16,0.12,0.16,0.12,0.12,0.04,0.12,0.16
supramarginal-rh,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.19230769230769232
