,bankssts-lh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-rh,insula-lh,isthmuscingulate-rh,temporalpole-lh,transversetemporal-lh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.40707964601769914,0.39823008849557523,0.0,0.0,0.07964601769911504,0.11504424778761062,0.0
caudalanteriorcingulate-rh,0.0,0.41228070175438597,0.40350877192982454,0.0,0.0,0.07017543859649122,0.11403508771929824,0.0
frontalpole-rh,0.0,0.0,0.0,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0
insula-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.10638297872340426,0.0851063829787234,0.19148936170212766,0.0,0.6170212765957447,0.0,0.0
temporalpole-lh,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.5416666666666666,0.041666666666666664
transversetemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375
