,P7,AF7,AF3,TP7,P5,PO7,PO3,POz
P7,0.48,0.0,0.0,0.0,0.0,0.0,0.52,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.4375
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0
POz,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6
