,caudalanteriorcingulate-rh,cuneus-rh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,medialorbitofrontal-rh,pericalcarine-lh,pericalcarine-rh
caudalanteriorcingulate-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-rh,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
frontalpole-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
pericalcarine-lh,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.9130434782608695,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
