,cuneus-lh,entorhinal-lh,isthmuscingulate-lh,medialorbitofrontal-lh,parsorbitalis-rh,pericalcarine-lh,temporalpole-lh,transversetemporal-rh
cuneus-lh,0.5294117647058824,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0
entorhinal-lh,0.0,0.6774193548387096,0.0,0.0,0.0,0.0,0.0,0.3225806451612903
isthmuscingulate-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.2727272727272727,0.12121212121212122
parsorbitalis-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pericalcarine-lh,0.37142857142857144,0.0,0.0,0.0,0.0,0.6285714285714286,0.0,0.0
temporalpole-lh,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.8695652173913043,0.0
transversetemporal-rh,0.0,0.1935483870967742,0.0,0.25806451612903225,0.0,0.0,0.0,0.5483870967741935
