,fusiform-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,lingual-lh,medialorbitofrontal-lh,medialorbitofrontal-rh,parahippocampal-lh,rostralanteriorcingulate-lh
fusiform-lh,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
isthmuscingulate-rh,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
lateralorbitofrontal-lh,0.0,0.0,0.2727272727272727,0.0,0.2581818181818182,0.2109090909090909,0.0,0.2581818181818182
lingual-lh,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
medialorbitofrontal-lh,0.0,0.0,0.2012012012012012,0.0,0.3003003003003003,0.2732732732732733,0.0,0.22522522522522523
medialorbitofrontal-rh,0.0,0.0,0.18181818181818182,0.0,0.29292929292929293,0.3164983164983165,0.0,0.20875420875420875
parahippocampal-lh,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.23248407643312102,0.0,0.2515923566878981,0.21019108280254778,0.0,0.3057324840764331
