,entorhinal-rh,frontalpole-lh,frontalpole-rh,isthmuscingulate-lh,lateraloccipital-rh,parahippocampal-lh,parstriangularis-rh,temporalpole-rh
entorhinal-rh,0.5632183908045977,0.12643678160919541,0.16091954022988506,0.14942528735632185,0.0,0.0,0.0,0.0
frontalpole-lh,0.10294117647058823,0.7941176470588235,0.10294117647058823,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.225,0.025,0.6375,0.1125,0.0,0.0,0.0,0.0
isthmuscingulate-lh,0.13432835820895522,0.0,0.07462686567164178,0.7910447761194029,0.0,0.0,0.0,0.0
lateraloccipital-rh,0.0,0.0,0.0,0.0,0.8305084745762712,0.0,0.1694915254237288,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.15,0.0,0.8,0.05
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.9285714285714286
