,cuneus-lh,fusiform-rh,isthmuscingulate-rh,lateraloccipital-rh,lingual-rh,parahippocampal-rh,pericalcarine-rh,precuneus-rh
cuneus-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fusiform-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateraloccipital-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lingual-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pericalcarine-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precuneus-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
