,Fp1,FT9,TP9,Oz,T8,FC6,F4,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
FC6,0.0,0.0,0.0,0.0,0.5238095238095238,0.47619047619047616,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
