,entorhinal-lh,fusiform-lh,inferiortemporal-lh,insula-lh,insula-rh,lingual-lh,middletemporal-lh,parahippocampal-lh
entorhinal-lh,0.3018867924528302,0.2830188679245283,0.03773584905660377,0.0,0.0,0.16981132075471697,0.0,0.20754716981132076
fusiform-lh,0.30434782608695654,0.30434782608695654,0.0,0.0,0.0,0.1956521739130435,0.0,0.1956521739130435
inferiortemporal-lh,0.13333333333333333,0.06666666666666667,0.5,0.0,0.0,0.0,0.0,0.3
insula-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lingual-lh,0.21212121212121213,0.21212121212121213,0.0,0.0,0.0,0.48484848484848486,0.030303030303030304,0.06060606060606061
middletemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
parahippocampal-lh,0.2549019607843137,0.21568627450980393,0.13725490196078433,0.0,0.0,0.0784313725490196,0.0,0.3137254901960784
