,caudalanteriorcingulate-lh,entorhinal-lh,fusiform-lh,medialorbitofrontal-lh,parsorbitalis-lh,parstriangularis-lh,rostralanteriorcingulate-lh,temporalpole-lh
caudalanteriorcingulate-lh,0.3548387096774194,0.0,0.0,0.22580645161290322,0.14516129032258066,0.0,0.27419354838709675,0.0
entorhinal-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.3,0.0,0.0,0.45,0.0,0.075,0.175,0.0
parsorbitalis-lh,0.22448979591836735,0.0,0.0,0.02040816326530612,0.40816326530612246,0.0,0.3469387755102041,0.0
parstriangularis-lh,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.0
rostralanteriorcingulate-lh,0.2878787878787879,0.0,0.0,0.13636363636363635,0.22727272727272727,0.0,0.3484848484848485,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
