,TP9,Oz,O2,FT10,F4,F8,Fp2,AF4
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.5454545454545454
F4,0.0,0.0,0.0,0.0,0.44,0.42,0.14,0.0
F8,0.0,0.0,0.0,0.0,0.44,0.42,0.14,0.0
Fp2,0.0,0.0,0.0,0.0,0.2647058823529412,0.2647058823529412,0.47058823529411764,0.0
AF4,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.8076923076923077
