,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-rh,medialorbitofrontal-rh,precuneus-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-rh
caudalanteriorcingulate-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.11627906976744186,0.8837209302325582,0.0,0.0,0.0,0.0
precuneus-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.7931034482758621,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
