,parsopercularis-lh,precentral-rh,rostralmiddlefrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
parsopercularis-lh,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.14285714285714285
precentral-rh,0.08,0.16,0.16,0.12,0.08,0.16,0.08,0.16
rostralmiddlefrontal-lh,0.08,0.16,0.16,0.12,0.08,0.16,0.08,0.16
superiorparietal-lh,0.08,0.16,0.16,0.12,0.08,0.16,0.08,0.16
superiorparietal-rh,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285
superiortemporal-lh,0.08,0.16,0.16,0.12,0.08,0.16,0.08,0.16
superiortemporal-rh,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.2
supramarginal-lh,0.09375,0.15625,0.15625,0.125,0.09375,0.15625,0.0625,0.15625
