,inferiorparietal-rh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
inferiorparietal-rh,0.1896551724137931,0.13793103448275862,0.0,0.1724137931034483,0.1896551724137931,0.13793103448275862,0.1724137931034483,0.0
parstriangularis-rh,0.15,0.3,0.05,0.125,0.175,0.075,0.125,0.0
rostralmiddlefrontal-lh,0.04,0.0,0.76,0.04,0.0,0.12,0.04,0.0
superiorparietal-lh,0.19642857142857142,0.125,0.0,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0
superiorparietal-rh,0.18,0.18,0.0,0.16,0.2,0.12,0.16,0.0
superiortemporal-lh,0.18518518518518517,0.09259259259259259,0.018518518518518517,0.18518518518518517,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.0
superiortemporal-rh,0.19642857142857142,0.125,0.0,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
