,FT9,FC1,Oz,CP6,FT10,AF3,CPz,AF8
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.4948453608247423,0.0,0.0,0.0,0.0,0.5051546391752577,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.3310810810810811,0.0,0.0,0.0,0.0,0.668918918918919,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
