,FT9,FC1,Oz,CP6,FT10,AF3,CPz,AF8
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.5535714285714286,0.0,0.0,0.0,0.25,0.0,0.19642857142857142
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AF3,0.0,0.375,0.0,0.0,0.0,0.35,0.0,0.275
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.34285714285714286,0.0,0.0,0.0,0.34285714285714286,0.0,0.3142857142857143
