,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Fp1,0.05271084337349398,0.03463855421686747,0.010542168674698794,0.0,0.0,0.03765060240963856,0.0,0.0,0.0,0.05421686746987952,0.05271084337349398,0.0,0.0,0.0015060240963855422,0.030120481927710843,0.0,0.0,0.0,0.0,0.0,0.0,0.05120481927710843,0.0,0.0,0.012048192771084338,0.0,0.030120481927710843,0.05421686746987952,0.004518072289156626,0.05421686746987952,0.0,0.0,0.0,0.0,0.05421686746987952,0.0,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313253012048193,0.0,0.0,0.0,0.018072289156626505,0.05572289156626506,0.05572289156626506,0.05421686746987952,0.03313253012048193,0.0572289156626506,0.0,0.05421686746987952,0.05572289156626506,0.0,0.0,0.0
Fz,0.048879837067209775,0.04480651731160896,0.014256619144602852,0.0,0.0,0.04684317718940937,0.0,0.0,0.0,0.048879837067209775,0.048879837067209775,0.0,0.0,0.002036659877800407,0.038696537678207736,0.0,0.0,0.0,0.0,0.0,0.0,0.04684317718940937,0.0,0.0,0.016293279022403257,0.0,0.04073319755600815,0.048879837067209775,0.006109979633401222,0.048879837067209775,0.0,0.0,0.0,0.0,0.048879837067209775,0.0,0.0,0.048879837067209775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04276985743380855,0.0,0.0,0.0,0.024439918533604887,0.048879837067209775,0.048879837067209775,0.048879837067209775,0.04073319755600815,0.048879837067209775,0.0,0.048879837067209775,0.048879837067209775,0.0,0.0,0.0
F3,0.0446927374301676,0.0446927374301676,0.03910614525139665,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.0446927374301676,0.0446927374301676,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0446927374301676,0.0,0.0446927374301676,0.0446927374301676,0.01675977653631285,0.0446927374301676,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335195530726257,0.0,0.0,0.0,0.0335195530726257,0.0446927374301676,0.0446927374301676,0.0446927374301676,0.027932960893854747,0.0446927374301676,0.0,0.0446927374301676,0.0446927374301676,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.05555555555555555,0.054093567251461985,0.0,0.019005847953216373,0.0043859649122807015,0.011695906432748537,0.0,0.0,0.0,0.019005847953216373,0.0,0.0,0.021929824561403508,0.0,0.0,0.05847953216374269,0.05847953216374269,0.054093567251461985,0.0014619883040935672,0.05701754385964912,0.059941520467836254,0.0014619883040935672,0.03216374269005848,0.0,0.0,0.0014619883040935672,0.0,0.05701754385964912,0.03216374269005848,0.005847953216374269,0.029239766081871343,0.0,0.043859649122807015,0.0,0.0,0.054093567251461985,0.054093567251461985,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.0043859649122807015,0.0,0.0,0.0,0.054093567251461985,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0,0.059941520467836254,0.0,0.0,0.005847953216374269,0.054093567251461985,0.007309941520467836
FT9,0.0,0.0,0.0,0.05571847507331378,0.054252199413489736,0.0,0.01906158357771261,0.004398826979472141,0.011730205278592375,0.0,0.0,0.0,0.01906158357771261,0.0,0.0,0.021994134897360705,0.0,0.0,0.05865102639296188,0.05865102639296188,0.054252199413489736,0.001466275659824047,0.05718475073313783,0.05865102639296188,0.001466275659824047,0.03225806451612903,0.0,0.0,0.001466275659824047,0.0,0.05718475073313783,0.03225806451612903,0.005865102639296188,0.02932551319648094,0.0,0.04398826979472141,0.0,0.0,0.054252199413489736,0.054252199413489736,0.008797653958944282,0.008797653958944282,0.008797653958944282,0.0,0.004398826979472141,0.0,0.0,0.0,0.054252199413489736,0.0,0.0,0.0,0.001466275659824047,0.0,0.0,0.05865102639296188,0.0,0.0,0.005865102639296188,0.054252199413489736,0.007331378299120235
FC5,0.0497131931166348,0.04397705544933078,0.01338432122370937,0.0,0.0,0.045889101338432124,0.0,0.0,0.0,0.0497131931166348,0.0497131931166348,0.0,0.0,0.0019120458891013384,0.03824091778202677,0.0,0.0,0.0,0.0,0.0,0.0,0.04780114722753346,0.0,0.0,0.015296367112810707,0.0,0.03824091778202677,0.0497131931166348,0.0057361376673040155,0.0497131931166348,0.0,0.0,0.0,0.0,0.0497131931166348,0.0,0.0,0.04780114722753346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04206500956022945,0.0,0.0,0.0,0.022944550669216062,0.0497131931166348,0.0497131931166348,0.0497131931166348,0.040152963671128104,0.0497131931166348,0.0,0.0497131931166348,0.0497131931166348,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.042483660130718956,0.042483660130718956,0.0,0.0392156862745098,0.00980392156862745,0.026143790849673203,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.042483660130718956,0.0,0.0,0.042483660130718956,0.042483660130718956,0.042483660130718956,0.0032679738562091504,0.042483660130718956,0.042483660130718956,0.0032679738562091504,0.0392156862745098,0.0,0.0,0.0032679738562091504,0.0,0.042483660130718956,0.042483660130718956,0.013071895424836602,0.042483660130718956,0.0,0.042483660130718956,0.0,0.0,0.042483660130718956,0.042483660130718956,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.00980392156862745,0.0,0.0,0.0,0.042483660130718956,0.0,0.0,0.0,0.0032679738562091504,0.0,0.0,0.042483660130718956,0.0,0.0,0.013071895424836602,0.042483660130718956,0.016339869281045753
C3,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.026785714285714284,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.008928571428571428,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571
T7,0.0,0.0,0.0,0.04054054054054054,0.04054054054054054,0.0,0.04054054054054054,0.013513513513513514,0.03153153153153153,0.0,0.0,0.0,0.036036036036036036,0.0,0.0,0.04054054054054054,0.0,0.0,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.0,0.04054054054054054,0.04054054054054054,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.04054054054054054,0.04054054054054054,0.018018018018018018,0.04054054054054054,0.0,0.04054054054054054,0.0,0.0,0.04054054054054054,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.013513513513513514,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.018018018018018018,0.04054054054054054,0.02252252252252252
TP9,0.05271084337349398,0.03463855421686747,0.010542168674698794,0.0,0.0,0.03765060240963856,0.0,0.0,0.0,0.05421686746987952,0.05271084337349398,0.0,0.0,0.0015060240963855422,0.030120481927710843,0.0,0.0,0.0,0.0,0.0,0.0,0.05120481927710843,0.0,0.0,0.012048192771084338,0.0,0.030120481927710843,0.05421686746987952,0.004518072289156626,0.05421686746987952,0.0,0.0,0.0,0.0,0.05421686746987952,0.0,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313253012048193,0.0,0.0,0.0,0.018072289156626505,0.05572289156626506,0.05572289156626506,0.05421686746987952,0.03313253012048193,0.0572289156626506,0.0,0.05421686746987952,0.05572289156626506,0.0,0.0,0.0
