,CP1,O1,P8,Cz,F8,Fp2,AF7,PO4
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.359375,0.375,0.265625,0.0
Fp2,0.0,0.0,0.0,0.0,0.14201183431952663,0.6035502958579881,0.25443786982248523,0.0
AF7,0.0,0.0,0.0,0.0,0.18269230769230768,0.41346153846153844,0.40384615384615385,0.0
PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
