,Fp1,Oz,O2,FT10,F8,Fp2,AF7,F2
Fp1,0.8205128205128205,0.0,0.0,0.0,0.0,0.10256410256410256,0.07692307692307693,0.0
Oz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.4166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0
AF7,0.36363636363636365,0.0,0.0,0.0,0.0,0.36363636363636365,0.2727272727272727,0.0
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
