,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,precentral-lh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiortemporal-lh
caudalmiddlefrontal-lh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
parsopercularis-lh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
parstriangularis-rh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
precentral-lh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
rostralmiddlefrontal-lh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
rostralmiddlefrontal-rh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
superiorfrontal-lh,0.125,0.13194444444444445,0.125,0.125,0.125,0.125,0.125,0.11805555555555555
superiortemporal-lh,0.1258741258741259,0.1258741258741259,0.1258741258741259,0.1258741258741259,0.1258741258741259,0.1258741258741259,0.1258741258741259,0.11888111888111888
