,entorhinal-rh,isthmuscingulate-rh,lingual-lh,lingual-rh,parahippocampal-lh,parahippocampal-rh,pericalcarine-lh,pericalcarine-rh
entorhinal-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.35714285714285715,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.0,0.14285714285714285,0.14285714285714285
lingual-lh,0.030303030303030304,0.030303030303030304,0.45454545454545453,0.0,0.48484848484848486,0.0,0.0,0.0
lingual-rh,0.0,0.19148936170212766,0.0,0.3404255319148936,0.0,0.0,0.3617021276595745,0.10638297872340426
parahippocampal-lh,0.058823529411764705,0.029411764705882353,0.4411764705882353,0.0,0.47058823529411764,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pericalcarine-lh,0.0,0.2222222222222222,0.0,0.3111111111111111,0.0,0.0,0.3333333333333333,0.13333333333333333
pericalcarine-rh,0.0,0.23529411764705882,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.0,0.11764705882352941,0.4411764705882353
