,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-rh,superiorparietal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.25,0.0,0.0,0.0,0.0,0.3125,0.25,0.1875
parsopercularis-lh,0.0,0.6057692307692307,0.28846153846153844,0.0,0.0,0.0,0.0,0.10576923076923077
parstriangularis-rh,0.0,0.42028985507246375,0.5072463768115942,0.0,0.0,0.0,0.0,0.07246376811594203
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.5217391304347826,0.4782608695652174,0.0,0.0,0.0
superiorfrontal-rh,0.2222222222222222,0.0,0.0,0.0,0.0,0.3888888888888889,0.2222222222222222,0.16666666666666666
superiorparietal-lh,0.25,0.0,0.0,0.0,0.0,0.3125,0.25,0.1875
superiortemporal-rh,0.09523809523809523,0.2857142857142857,0.11904761904761904,0.0,0.0,0.09523809523809523,0.09523809523809523,0.30952380952380953
