,FT9,TP10,Fp2,AF7,FT7,TP7,AF8,AF4
FT9,0.4350282485875706,0.2711864406779661,0.2937853107344633,0.0,0.0,0.0,0.0,0.0
TP10,0.4083333333333333,0.4,0.19166666666666668,0.0,0.0,0.0,0.0,0.0
Fp2,0.18867924528301888,0.07924528301886792,0.7320754716981132,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
