,Fp1,Fz,T8,F8,Fp2,AF7,F2,FCz
Fp1,0.45454545454545453,0.0,0.0,0.0,0.37662337662337664,0.07792207792207792,0.0,0.09090909090909091
Fz,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.42857142857142855,0.0,0.0,0.0,0.38571428571428573,0.08571428571428572,0.0,0.1
AF7,0.2916666666666667,0.0,0.0,0.0,0.2916666666666667,0.25,0.0,0.16666666666666666
F2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
FCz,0.3181818181818182,0.0,0.0,0.0,0.3181818181818182,0.09090909090909091,0.0,0.2727272727272727
