,Fp1,Fz,P3,P8,AF7,AFz,TP8,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.7053571428571429,0.29464285714285715,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.5038167938931297,0.4961832061068702,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.6635514018691588,0.3364485981308411
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.5034965034965035,0.4965034965034965
