,frontalpole-lh,insula-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-lh,rostralanteriorcingulate-lh,rostralmiddlefrontal-lh,temporalpole-rh
frontalpole-lh,0.5308641975308642,0.1728395061728395,0.0,0.0,0.2962962962962963,0.0,0.0,0.0
insula-lh,0.09090909090909091,0.5757575757575758,0.0,0.0,0.12878787878787878,0.0,0.0,0.20454545454545456
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.0,0.0,0.5882352941176471,0.0,0.4117647058823529,0.0,0.0
medialorbitofrontal-lh,0.2,0.15833333333333333,0.0,0.0,0.6416666666666667,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.20430107526881722,0.0,0.6774193548387096,0.11827956989247312,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.6538461538461539,0.0
temporalpole-rh,0.0,0.19827586206896552,0.0,0.0,0.0,0.0,0.0,0.8017241379310345
