,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,pericalcarine-lh,pericalcarine-rh,rostralanteriorcingulate-rh,temporalpole-lh
frontalpole-lh,0.8846153846153846,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.5901639344262295,0.0,0.4098360655737705,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.484375
pericalcarine-lh,0.0,0.0,0.52,0.0,0.48,0.0,0.0,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
temporalpole-lh,0.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.031746031746031744,0.49206349206349204
