,frontalpole-lh,frontalpole-rh,fusiform-rh,insula-lh,insula-rh,isthmuscingulate-rh,parahippocampal-rh,temporalpole-rh
frontalpole-lh,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.25462962962962965,0.7453703703703703,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-rh,0.0,0.0,0.4613259668508287,0.0,0.0,0.0,0.143646408839779,0.39502762430939226
insula-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.39705882352941174,0.0,0.0,0.0,0.3897058823529412,0.21323529411764705
temporalpole-rh,0.0,0.0,0.4230769230769231,0.0,0.0,0.0,0.07988165680473373,0.4970414201183432
