,entorhinal-lh,frontalpole-lh,frontalpole-rh,parahippocampal-lh,parahippocampal-rh,pericalcarine-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
entorhinal-lh,0.7,0.0,0.0,0.15,0.15,0.0,0.0,0.0
frontalpole-lh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
frontalpole-rh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
parahippocampal-lh,0.15,0.0,0.0,0.7,0.15,0.0,0.0,0.0
parahippocampal-rh,0.08695652173913043,0.0,0.0,0.13043478260869565,0.6956521739130435,0.08695652173913043,0.0,0.0
pericalcarine-lh,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
rostralanteriorcingulate-rh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
