,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.04118404118404118,0.04118404118404118,0.0,0.0,0.039897039897039896,0.04247104247104247,0.04247104247104247,0.0,0.0,0.0,0.0,0.0,0.04247104247104247,0.0,0.0,0.0,0.0,0.0,0.0,0.04247104247104247,0.04247104247104247,0.0,0.0,0.0,0.04247104247104247,0.0,0.0,0.0,0.0,0.0,0.04247104247104247,0.04247104247104247,0.0,0.0,0.04247104247104247,0.04247104247104247,0.04247104247104247,0.04247104247104247,0.0,0.029601029601029602,0.0,0.0,0.04118404118404118,0.03088803088803089,0.0,0.04247104247104247,0.021879021879021878,0.0,0.04247104247104247,0.0,0.0,0.0,0.0,0.0,0.04118404118404118,0.04247104247104247,0.03346203346203346,0.0,0.0,0.04247104247104247,0.0,0.0,0.0
Fz,0.0391644908616188,0.04177545691906005,0.0,0.0,0.037859007832898174,0.04046997389033943,0.04177545691906005,0.0,0.0,0.0,0.0,0.0,0.04308093994778068,0.0,0.0,0.0,0.0,0.0,0.0,0.04308093994778068,0.04308093994778068,0.0,0.0,0.0,0.04308093994778068,0.0,0.0,0.0,0.0,0.0,0.04308093994778068,0.04308093994778068,0.0,0.0,0.04308093994778068,0.04308093994778068,0.04046997389033943,0.04308093994778068,0.0,0.02741514360313316,0.0,0.0,0.04308093994778068,0.031331592689295036,0.0,0.04308093994778068,0.022193211488250653,0.0,0.04308093994778068,0.0,0.0,0.0,0.0,0.0,0.04177545691906005,0.04308093994778068,0.033942558746736295,0.0,0.0,0.04177545691906005,0.0,0.0,0.0
F3,0.0,0.0,0.057724957555178265,0.04584040747028863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050933786078098474,0.03395585738539898,0.0,0.05602716468590832,0.042444821731748725,0.0,0.0,0.035653650254668934,0.050933786078098474,0.0,0.0,0.0,0.059422750424448216,0.04753820033955857,0.05602716468590832,0.0,0.0,0.0,0.044142614601018676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.059422750424448216,0.05432937181663837,0.030560271646859084,0.0,0.0,0.0,0.04753820033955857,0.04584040747028863,0.0,0.059422750424448216,0.05263157894736842,0.03735144312393888
F7,0.0,0.0,0.05182341650671785,0.04990403071017274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04798464491362764,0.03838771593090211,0.0,0.05182341650671785,0.044145873320537425,0.0,0.0,0.03838771593090211,0.05182341650671785,0.0,0.0,0.0,0.05182341650671785,0.05182341650671785,0.05182341650671785,0.0,0.0,0.0,0.04990403071017274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036468330134357005,0.0,0.0,0.0,0.0,0.0,0.0,0.05182341650671785,0.05182341650671785,0.0345489443378119,0.0,0.0,0.0,0.04990403071017274,0.04990403071017274,0.0,0.05182341650671785,0.05182341650671785,0.04222648752399232
FT9,0.04194857916102842,0.04194857916102842,0.0,0.0,0.04059539918809202,0.04194857916102842,0.04194857916102842,0.0,0.0,0.0,0.0,0.0,0.04194857916102842,0.0,0.0,0.0,0.0,0.0,0.0,0.04194857916102842,0.04194857916102842,0.0,0.0,0.0,0.04194857916102842,0.0,0.0,0.0,0.0,0.0,0.04194857916102842,0.04194857916102842,0.0,0.0,0.04194857916102842,0.04194857916102842,0.04194857916102842,0.04194857916102842,0.0,0.029769959404600813,0.0,0.0,0.04194857916102842,0.03247631935047361,0.0,0.04194857916102842,0.023004059539918808,0.0,0.04194857916102842,0.0,0.0,0.0,0.0,0.0,0.04194857916102842,0.04194857916102842,0.035182679296346414,0.0,0.0,0.04194857916102842,0.0,0.0,0.0
FC5,0.040145985401459854,0.040145985401459854,0.0,0.0,0.037712895377128956,0.04257907542579075,0.04257907542579075,0.0,0.0,0.0,0.0,0.0,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.0,0.0413625304136253,0.043795620437956206,0.0,0.0,0.0,0.04257907542579075,0.0,0.0,0.0,0.0,0.0,0.043795620437956206,0.04257907542579075,0.0,0.0,0.043795620437956206,0.043795620437956206,0.04257907542579075,0.043795620437956206,0.0,0.027980535279805353,0.0,0.0,0.040145985401459854,0.029197080291970802,0.0,0.043795620437956206,0.02068126520681265,0.0,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.040145985401459854,0.043795620437956206,0.031630170316301706,0.0,0.0,0.043795620437956206,0.0,0.0,0.0
FC1,0.03965303593556382,0.040892193308550186,0.0,0.0,0.03841387856257745,0.040892193308550186,0.042131350681536554,0.0,0.0,0.0,0.0,0.0,0.04337050805452292,0.0,0.0,0.0,0.0,0.0,0.0,0.04337050805452292,0.04337050805452292,0.0,0.0,0.0,0.04337050805452292,0.0,0.0,0.0,0.0,0.0,0.04337050805452292,0.04337050805452292,0.0,0.0,0.04337050805452292,0.04337050805452292,0.040892193308550186,0.04337050805452292,0.0,0.028500619578686492,0.0,0.0,0.042131350681536554,0.02973977695167286,0.0,0.04337050805452292,0.021065675340768277,0.0,0.04337050805452292,0.0,0.0,0.0,0.0,0.0,0.040892193308550186,0.04337050805452292,0.0322180916976456,0.0,0.0,0.042131350681536554,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
